id,ship_name,mmsi,sog,cog,heading,nav_status,lon,lat,width,length,ship_type,p99_speed,iso_flag,iso_anomaly,p99_anomaly,speed_anomaly
5532,RESCUE MAERSK MOLLER,265732760,0.1,291.7,191,0,11.22998,58.35417,4,12,51,0.08699999999999992,1,False,True,True
5549,VEJA,244830301,8.5,256.0,257,5,4.46967,51.83347,12,110,79,9.854999999999999,1,False,False,False
5555,ASTRAIA,209835000,0.0,271.2,511,1,33.06663,34.67671,18,89,80,0.0,1,False,False,False
5558,EDT PROTEA,209255000,0.0,327.0,327,5,4.66471,52.47338,14,90,99,0.0,1,False,False,False
5560,ONDERHOUD BRUGGEN,244180501,0.0,360.0,511,0,4.92273,52.32819,4,13,52,8.6,1,False,False,False
5567,UNITAR,257364000,8.1,297.6,297,0,11.1493,54.61282,14,92,81,8.1,1,False,False,False
5568,AQUILA,244710842,0.0,322.4,511,0,3.23468,51.29766,9,89,79,0.0,1,False,False,False
5597,LISE BEATE,257602000,0.0,239.8,58,7,5.11672,61.92994,9,38,30,0.0,1,False,False,False
5604,VAHALIS 2,244010890,0.0,360.0,511,15,5.4421,51.88751,6,24,37,0.0,1,False,False,False
5606,ENGAGE ADMIRAL,503194360,4.1,296.5,298,0,151.20238,-33.8509,12,30,95,4.294,1,False,False,False
5616,MEIKE,244385527,0.1,360.0,511,0,4.91881,52.33565,4,11,69,0.988,1,False,False,False
5618,WS 23,211751550,0.0,197.0,354,0,9.972,53.52517,4,15,99,0.0,1,False,False,False
5619,ENHYDRA,368052630,8.8,120.8,126,15,-122.40659,37.8219,10,42,60,35.306999999999995,1,False,False,False
5623,SARA,367705810,2.8,295.4,511,5,-80.22644,25.78625,8,16,31,4.384,1,False,False,False
5628,VOX APOLONIA,245256000,1.5,68.8,78,0,4.29918,52.55953,28,137,99,1.5,1,False,False,False
5876,ALASKA WARRIOR,338250000,0.0,185.0,223,7,-122.33936,47.64591,13,65,30,0.0,1,False,False,False
5879,NORWEGIAN JEWEL,311827000,16.7,138.3,138,0,-75.53307,39.43183,32,294,60,16.7,1,False,False,False
5908,HULK,247454600,0.0,346.2,357,3,13.76789,45.63549,9,30,52,3.8,1,False,False,False
5909,WSF TACOMA,366772760,0.2,279.2,282,0,-122.50911,47.62245,28,140,60,19.793,1,False,False,False
5910,LINDA-C,268246300,0.0,266.9,511,5,4.5912,52.45876,8,37,90,0.0,1,False,False,False
5913,HOLLANDSCH DIEP,244740618,0.0,360.0,511,15,4.12855,51.82395,6,35,69,0.0,1,False,False,False
5915,ORION,235081002,0.0,322.1,155,0,5.60091,52.65977,6,18,40,0.0,1,False,False,False
5916,MAERSK FELIXSTOWE,352003178,14.7,162.1,160,0,7.57477,54.00247,40,255,71,15.294,1,False,False,False
5917,ASTORIA BAY,477700500,0.0,135.0,328,5,-122.6937,45.54897,31,185,70,0.0,1,False,False,False
5928,PRINSES MAXIMA,244169000,0.0,227.1,266,5,3.59831,51.44415,18,38,69,0.0,1,False,False,False
5935,THE BALTIC WHALE,219034332,0.0,152.7,206,0,11.22849,54.50309,26,148,60,0.0,1,False,False,False
5937,NIKY,244060545,0.0,0.0,511,0,5.54752,51.80721,6,50,79,0.0,1,False,False,False
5940,SEA STAR,477996332,0.5,308.0,511,0,114.15686,22.28863,8,32,40,0.492,1,False,True,True
5942,AEGIR,244660659,0.0,360.0,271,0,5.39923,53.05045,6,21,0,0.0,1,False,False,False
5945,SJORS B,244730347,0.0,295.4,511,0,5.3643,52.16959,7,63,79,0.0,1,False,False,False
5954,MV LIV,367682130,4.6,247.9,253,12,-93.96145,29.82433,10,23,52,4.776,1,False,False,False
5967,MARLIN LA PLATA,538009852,9.9,119.7,124,0,10.7047,57.8147,44,250,80,12.939,1,False,False,False
5977,HAPPY DELTA,246659000,0.1,11.0,112,1,4.2021,52.19792,26,156,70,7.426,1,False,False,False
6264,HARBOUR PROGRESS,255804290,0.0,132.1,174,5,3.74319,51.08006,23,162,80,0.0,1,False,False,False
6265,KRISTINE,258562210,0.0,339.6,511,6,10.04662,64.04275,6,15,68,0.0,1,False,False,False
6269,MARION ANITA,257088370,9.4,38.6,35,0,7.74513,63.73395,13,88,79,11.296000000000001,1,False,False,False
